filename	onset	offset	event_label
10.wav	0.2871594438738916	1.0577124645624223	Alarm_bell_ringing
10.wav	1.7171242311077406	1.9671242311077406	Alarm_bell_ringing
10.wav	5.049573322206924	6.013631651037168	Alarm_bell_ringing
10.wav	7.240901348862064	8.492352348862063	Speech
1000.wav	4.352958498468252	4.6640922853163245	Alarm_bell_ringing
1000.wav	7.452846725772901	8.065499725772902	Speech
1003.wav	1.7389974852611645	1.9889974852611645	Alarm_bell_ringing
1003.wav	3.318859104325583	7.202827104325582	Alarm_bell_ringing
1003.wav	9.122064513360453	9.454762513360453	Alarm_bell_ringing
1003.wav	5.42386411480388	5.836675906187099	Speech
1006.wav	8.712103060674451	9.231196031195992	Alarm_bell_ringing
1008.wav	2.7136510817794464	4.975351762051555	Alarm_bell_ringing
1008.wav	6.373104083246941	6.705802083246941	Alarm_bell_ringing
1009.wav	2.267498090647186	2.584777002211812	Alarm_bell_ringing
1009.wav	3.650453061515168	6.859455061515168	Alarm_bell_ringing
1009.wav	2.713955939701348	3.326608939701348	Speech
1009.wav	3.8131633858303537	4.454138385830354	Speech
1009.wav	7.44329410897754	8.822523108977537	Speech
1009.wav	9.74006080953112	10.0	Dog
1011.wav	2.9729099831264048	3.2930459831264045	Alarm_bell_ringing
1011.wav	4.590826858990964	7.40636572692364	Alarm_bell_ringing
1011.wav	7.294163340194732	8.323097340194732	Speech
1011.wav	8.421706484822108	8.896717484822107	Cat
1012.wav	0.4594163086066573	0.7773528165431652	Alarm_bell_ringing
1012.wav	5.715920233748884	6.036215018329383	Alarm_bell_ringing
1012.wav	8.085059342030384	8.389345056316094	Alarm_bell_ringing
1012.wav	1.5167453261404755	2.7258730144337946	Dog
1012.wav	1.596204024673886	2.8768616210457685	Speech
1012.wav	7.224659884201047	8.380237884201048	Speech
1012.wav	9.281358776369345	9.531358776369345	Speech
1014.wav	2.328681406216716	2.7077224697426026	Alarm_bell_ringing
1014.wav	7.883934995499207	10.0	Alarm_bell_ringing
1018.wav	1.2282795249642642	1.6004563957125637	Dog
1018.wav	1.8037507557496324	4.3450657557496335	Alarm_bell_ringing
1018.wav	4.773518691271831	8.901818694648746	Alarm_bell_ringing
1023.wav	2.9945294150039925	7.000719415003992	Alarm_bell_ringing
1023.wav	7.960918264076136	8.32053277654779	Alarm_bell_ringing
1024.wav	1.7315601699431062	2.2162540474941266	Alarm_bell_ringing
1024.wav	3.5501822132944785	3.8828802132944786	Alarm_bell_ringing
1024.wav	5.153008378378803	5.403008378378803	Alarm_bell_ringing
1024.wav	5.7543832253228375	6.326537225322839	Alarm_bell_ringing
1024.wav	7.913320357317022	8.24173305572972	Alarm_bell_ringing
1024.wav	9.696952694741784	10.0	Alarm_bell_ringing
1024.wav	4.9063118343803325	5.2784887051286296	Dog
1024.wav	6.251227616905742	6.501227616905742	Speech
1026.wav	2.678603022086958	3.1851336343318564	Speech
1026.wav	4.0763069217707875	5.967145921770786	Speech
1026.wav	9.324047774881826	10.0	Speech
