slice_file_name,fsID,start,end,salience,fold,classID,class_string,ID
100032-3-0-0.wav,100032,0.0,0.317551,1,5,3,dog_bark,100032-3-0-0
100263-2-0-117.wav,100263,58.5,62.5,1,5,2,children_playing,100263-2-0-117
100263-2-0-121.wav,100263,60.5,64.5,1,5,2,children_playing,100263-2-0-121
100263-2-0-126.wav,100263,63.0,67.0,1,5,2,children_playing,100263-2-0-126
100263-2-0-137.wav,100263,68.5,72.5,1,5,2,children_playing,100263-2-0-137
100263-2-0-143.wav,100263,71.5,75.5,1,5,2,children_playing,100263-2-0-143
100263-2-0-161.wav,100263,80.5,84.5,1,5,2,children_playing,100263-2-0-161
100263-2-0-3.wav,100263,1.5,5.5,1,5,2,children_playing,100263-2-0-3
100263-2-0-36.wav,100263,18.0,22.0,1,5,2,children_playing,100263-2-0-36
100648-1-0-0.wav,100648,4.823402,5.471927,2,10,1,car_horn,100648-1-0-0
100648-1-1-0.wav,100648,8.998279,10.052132,2,10,1,car_horn,100648-1-1-0
100648-1-2-0.wav,100648,16.699509,17.104837,2,10,1,car_horn,100648-1-2-0
100648-1-3-0.wav,100648,17.631764,19.253075,2,10,1,car_horn,100648-1-3-0
100648-1-4-0.wav,100648,25.332994,27.197502000000004,2,10,1,car_horn,100648-1-4-0
100652-3-0-0.wav,100652,0.0,4.0,1,2,3,dog_bark,100652-3-0-0
100652-3-0-1.wav,100652,0.5,4.5,1,2,3,dog_bark,100652-3-0-1
100652-3-0-2.wav,100652,1.0,5.0,1,2,3,dog_bark,100652-3-0-2
100652-3-0-3.wav,100652,1.5,5.5,1,2,3,dog_bark,100652-3-0-3
100795-3-0-0.wav,100795,0.19179000000000002,4.19179,1,10,3,dog_bark,100795-3-0-0
100795-3-1-0.wav,100795,13.059155,17.059155,1,10,3,dog_bark,100795-3-1-0
100795-3-1-1.wav,100795,13.559154999999999,17.559155,1,10,3,dog_bark,100795-3-1-1
100795-3-1-2.wav,100795,14.059154999999999,18.059155,1,10,3,dog_bark,100795-3-1-2
100852-0-0-0.wav,100852,0.0,4.0,1,5,0,air_conditioner,100852-0-0-0
100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner,100852-0-0-1
100852-0-0-10.wav,100852,5.0,9.0,1,5,0,air_conditioner,100852-0-0-10
100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner,100852-0-0-11
100852-0-0-12.wav,100852,6.0,10.0,1,5,0,air_conditioner,100852-0-0-12
100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner,100852-0-0-13
100852-0-0-14.wav,100852,7.0,11.0,1,5,0,air_conditioner,100852-0-0-14
100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner,100852-0-0-15
100852-0-0-16.wav,100852,8.0,12.0,1,5,0,air_conditioner,100852-0-0-16
100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner,100852-0-0-17
100852-0-0-18.wav,100852,9.0,13.0,1,5,0,air_conditioner,100852-0-0-18
100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner,100852-0-0-19
100852-0-0-2.wav,100852,1.0,5.0,1,5,0,air_conditioner,100852-0-0-2
100852-0-0-20.wav,100852,10.0,14.0,1,5,0,air_conditioner,100852-0-0-20
100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner,100852-0-0-21
100852-0-0-22.wav,100852,11.0,15.0,1,5,0,air_conditioner,100852-0-0-22
100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner,100852-0-0-23
100852-0-0-24.wav,100852,12.0,16.0,1,5,0,air_conditioner,100852-0-0-24
100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner,100852-0-0-25
100852-0-0-26.wav,100852,13.0,17.0,1,5,0,air_conditioner,100852-0-0-26
100852-0-0-27.wav,100852,13.5,17.5,1,5,0,air_conditioner,100852-0-0-27
100852-0-0-28.wav,100852,14.0,18.0,1,5,0,air_conditioner,100852-0-0-28
100852-0-0-29.wav,100852,14.5,18.5,1,5,0,air_conditioner,100852-0-0-29
100852-0-0-3.wav,100852,1.5,5.5,1,5,0,air_conditioner,100852-0-0-3
100852-0-0-30.wav,100852,15.0,19.0,1,5,0,air_conditioner,100852-0-0-30
100852-0-0-4.wav,100852,2.0,6.0,1,5,0,air_conditioner,100852-0-0-4
100852-0-0-5.wav,100852,2.5,6.5,1,5,0,air_conditioner,100852-0-0-5
100852-0-0-6.wav,100852,3.0,7.0,1,5,0,air_conditioner,100852-0-0-6
100852-0-0-7.wav,100852,3.5,7.5,1,5,0,air_conditioner,100852-0-0-7
100852-0-0-8.wav,100852,4.0,8.0,1,5,0,air_conditioner,100852-0-0-8
100852-0-0-9.wav,100852,4.5,8.5,1,5,0,air_conditioner,100852-0-0-9
101281-3-0-0.wav,101281,0.341333,4.3413330000000006,2,6,3,dog_bark,101281-3-0-0
101281-3-0-14.wav,101281,7.3413330000000006,11.341333,2,6,3,dog_bark,101281-3-0-14
101281-3-0-5.wav,101281,2.841333,6.8413330000000006,2,6,3,dog_bark,101281-3-0-5
101382-2-0-10.wav,101382,5.0,9.0,1,10,2,children_playing,101382-2-0-10
101382-2-0-12.wav,101382,6.0,10.0,1,10,2,children_playing,101382-2-0-12
101382-2-0-20.wav,101382,10.0,14.0,1,10,2,children_playing,101382-2-0-20
101382-2-0-21.wav,101382,10.5,14.5,1,10,2,children_playing,101382-2-0-21
101382-2-0-29.wav,101382,14.5,18.5,1,10,2,children_playing,101382-2-0-29
101382-2-0-33.wav,101382,16.5,20.5,1,10,2,children_playing,101382-2-0-33
101382-2-0-42.wav,101382,21.0,25.0,1,10,2,children_playing,101382-2-0-42
101382-2-0-45.wav,101382,22.5,26.5,1,10,2,children_playing,101382-2-0-45
101415-3-0-2.wav,101415,1.0,5.0,1,1,3,dog_bark,101415-3-0-2
101415-3-0-3.wav,101415,1.5,5.5,1,1,3,dog_bark,101415-3-0-3
101415-3-0-8.wav,101415,4.0,8.0,1,1,3,dog_bark,101415-3-0-8
101729-0-0-1.wav,101729,0.5,4.5,2,9,0,air_conditioner,101729-0-0-1
101729-0-0-11.wav,101729,5.5,9.5,2,9,0,air_conditioner,101729-0-0-11
101729-0-0-12.wav,101729,6.0,10.0,2,9,0,air_conditioner,101729-0-0-12
